Name,Registration No.,Type,E-mail,Telephone,Fax No.,Address,Contact Person,Correspondence Address,Validity,Trade Name,Exchange Name,Website,Correspondence E-mail,Correspondence Telephone,Correspondence Fax,Mobile No.
BAGARIA DERIVATIVE SERVICES PRIVATE LIMITED,INZ000226533,Registered Stock Brokers in Equity Derivative Segment,bagariaderivative@gmail.com,910119099022288,,"FC-303, 3rd Floor, D Mall, Netaji Subhash Place, Pitampura,",,,"Feb 27, 2019 - Perpetual",BAGARIA DERIVATIVE SERVICES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAGARIA DERIVATIVE SERVICES PRIVATE LIMITED,INZ000226533,Registered Stock Brokers in Currency Derivative Segment,bagariaderivative@gmail.com,910119099022288,,"FC-303, 3rd Floor, D Mall, Netaji Subhash Place, Pitampura,",,,"Feb 27, 2019 - Perpetual",BAGARIA DERIVATIVE SERVICES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAGARIA DERIVATIVE SERVICES PRIVATE LIMITED,INZ000226533,Registered Stock Brokers in Currency Derivative Segment,bagariaderivative@gmail.com,910119099022288,,"FC-303, 3rd Floor, D Mall, Netaji Subhash Place, Pitampura,",,,"Feb 27, 2019 - Perpetual",BAGARIA DERIVATIVE SERVICES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,INZ000187438,Registered Stock Brokers in Equity Derivative Segment,bahubalionline@yahoo.co.in,917884033791,,"3/10, AKASH GANGA",,,"Mar 23, 2005 - Perpetual",BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,INZ000187438,Registered Stock Brokers in Equity Derivative Segment,bahubalionline@yahoo.co.in,917884033791,,"3/10, AKASH GANGA",,,"Mar 23, 2005 - Perpetual",BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,INZ000187438,Registered Stock Brokers in equity segment,bahubalionline@yahoo.co.in,917884033791,,"3/10, AKASH GANGA",,,"Mar 23, 2005 - Perpetual",BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,INZ000187438,Registered Stock Brokers in Currency Derivative Segment,bahubalionline@yahoo.co.in,917884033791,,"3/10, AKASH GANGA",,,"Mar 23, 2005 - Perpetual",BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,INZ000187438,Registered Stock Brokers in equity segment,bahubalionline@yahoo.co.in,917884033791,,"3/10, AKASH GANGA",,,"Mar 23, 2005 - Perpetual",BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,INZ000187438,Registered Stock Brokers in Currency Derivative Segment,bahubalionline@yahoo.co.in,917884033791,,"3/10, AKASH GANGA",,,"Mar 23, 2005 - Perpetual",BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,INZ000187438,Registered Stock Brokers in equity segment,bahubalionline@yahoo.co.in,917884033791,,"3/10, AKASH GANGA",,,"Mar 23, 2005 - Perpetual",BAHUBALI FINANCIAL SERVICES PRIVATE LIMITED,NSE Clearing Limited,,,,,
BAHUBALI FINANCIAL SERVICES PVT. LTD.,INE011221034,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Sep 25, 2008 - Perpetual",BAHUBALI FINANCIAL SERVICES PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAHUBALI FOREX PRIVATE LIMITED,INZ000006833,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Apr 28, 2015 - Perpetual",BAHUBALI FOREX PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAHUBALI FOREX PRIVATE LIMITED,INZ000006833,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Apr 28, 2015 - Perpetual",BAHUBALI FOREX PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAJAJ CAPITAL INVESTMENT ADVISERS PRIVATE LIMITED,INA100001398,Investment Adviser,reenakumari@bajajcapital.com,1166161111,1166161111,"506, 5TH FLOOR, BAJAJ HOUSE, 97, NEHRU PLACE, NEW DELHI, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019",Reena Kumari,"506, 5th Floor, Bajaj House, 97, Nehru Place, New Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","Mar 31, 2014 - Perpetual",,,,,,,
BAJAJ CAPITAL LIMITED,INZ000007732,Registered Stock Brokers in equity segment,,,,,,,"Jun 08, 2015 - Perpetual",BAJAJ CAPITAL LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BAJAJ CAPITAL LIMITED,INZ000007732,Registered Stock Brokers in equity segment,,,,,,,"Jun 08, 2015 - Perpetual",BAJAJ CAPITAL LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAJAJ CAPITAL MARKETS LIMITED,INZ000236930,Registered Stock Brokers in Equity Derivative Segment,manishas@bajajcapital.com,9101141693000,9101126476638,"BAJAJ HOUSE, 97, NEHRU PLACE",,,"Jun 14, 2006 - Perpetual",BAJAJ CAPITAL MARKETS LIMITED,NSE Clearing Limited,,,,,
BAJAJ CAPITAL MARKETS LIMITED,INZ000236930,Registered Stock Brokers in equity segment,manishas@bajajcapital.com,9101141693000,9101126476638,"BAJAJ HOUSE, 97, NEHRU PLACE",,,"Jun 14, 2006 - Perpetual",BAJAJ CAPITAL MARKETS LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAJAJ CAPITAL MARKETS LIMITED,INZ000236930,Registered Stock Brokers in Equity Derivative Segment,manishas@bajajcapital.com,9101141693000,9101126476638,"BAJAJ HOUSE, 97, NEHRU PLACE",,,"Jun 14, 2006 - Perpetual",BAJAJ CAPITAL MARKETS LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAJAJ CAPITAL MARKETS LIMITED,INZ000236930,Registered Stock Brokers in equity segment,manishas@bajajcapital.com,9101141693000,9101126476638,"BAJAJ HOUSE, 97, NEHRU PLACE",,,"Jun 14, 2006 - Perpetual",BAJAJ CAPITAL MARKETS LIMITED,NSE Clearing Limited,,,,,
BAJAJ CAPITAL MARKETS LIMITED,INZ000236930,Registered Stock Brokers in Equity Derivative Segment,manishas@bajajcapital.com,9101141693000,9101126476638,"BAJAJ HOUSE, 97, NEHRU PLACE",,,"Jun 14, 2006 - Perpetual",BAJAJ CAPITAL MARKETS LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAJAJ CAPITAL MARKETS LIMITED,INZ000236930,Registered Stock Brokers in Equity Derivative Segment,manishas@bajajcapital.com,9101141693000,9101126476638,"BAJAJ HOUSE, 97, NEHRU PLACE",,,"Jun 14, 2006 - Perpetual",BAJAJ CAPITAL MARKETS LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BAJAJ CAPITAL MARKETS LIMITED,INZ000236930,Registered Stock Brokers in equity segment,manishas@bajajcapital.com,9101141693000,9101126476638,"BAJAJ HOUSE, 97, NEHRU PLACE",,,"Jun 14, 2006 - Perpetual",BAJAJ CAPITAL MARKETS LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BAJAJ CAPITAL SECURITIES LIMITED,INM000013208,Merchant Bankers,vishal.wason@bajajcapitalsec.com,911167000000,911167000000,"Mezzanine Floor 97 Bajaj House Nehru Place New Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019",Vishal Wason,"Flat No 3A 4 Mezzanine Floor Kundan House 16 Nehru Place New Delhi, NEW DELHI, NATIONAL CAPITAL TERRITORY OF DELHI, 110019","Oct 01, 2024 - Perpetual",,,,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in equity segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,NSE Clearing Limited,,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in Currency Derivative Segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in Equity Derivative Segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in Equity Derivative Segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,NSE Clearing Limited,,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in equity segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in Currency Derivative Segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in Currency Derivative Segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,NSE Clearing Limited,,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in Equity Derivative Segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in Equity Derivative Segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in Currency Derivative Segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in equity segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAJAJ FINANCIAL SECURITIES LIMITED,INZ000218931,Registered Stock Brokers in equity segment,compliance@bajajbroking.in,0919226046484,,"Bajaj Auto Limited Complex, Mumbai-Pune Road, Akurdi",,,"Jan 24, 2019 - Perpetual",BAJAJ FINANCIAL SECURITIES LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAJAJ FINSERV DIRECT LIMITED,INA000016083,Investment Adviser,,,,,,,"Aug 11, 2021 - Perpetual",,,,,,,
BAJAJ OVERSEAS & FINANCE PVT. LTD.,INB031127633,Registered Stock Brokers in equity segment,,,,,,,"Aug 30, 2000 - Perpetual",BAJAJ OVERSEAS & FINANCE PVT. LTD.,CALCUTTA STOCK EXCHANGE,,,,,
BAJAJ PORTFOLIO SERVICES PVT LTD,INB030723832,Registered Stock Brokers in equity segment,,,,,,,"Jun 07, 1995 - Perpetual",BAJAJ PORTFOLIO SERVICES PVT LTD,CALCUTTA STOCK EXCHANGE,,,,,
BAJAJ SHARE & STOCK BROKERS PVT. LTD.,INZ000240132,Registered Stock Brokers in equity segment,bajajvrb@gmail.com,9102222870362,,"24-B, RAJA BAHADUR COMPOUND, 1ST FLOOR, HAMAM STREET, FORT,",,,"Mar 06, 2000 - Perpetual",BAJAJ SHARE & STOCK BROKERS PVT. LTD.,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BAJAJ SHARE & STOCK BROKERS PVT. LTD.,INZ000240132,Registered Stock Brokers in Equity Derivative Segment,bajajvrb@gmail.com,9102222870362,,"24-B, RAJA BAHADUR COMPOUND, 1ST FLOOR, HAMAM STREET, FORT,",,,"Mar 06, 2000 - Perpetual",BAJAJ SHARE & STOCK BROKERS PVT. LTD.,NSE Clearing Limited,,,,,
BAJAJ SHARE & STOCK BROKERS PVT. LTD.,INZ000240132,Registered Stock Brokers in equity segment,bajajvrb@gmail.com,9102222870362,,"24-B, RAJA BAHADUR COMPOUND, 1ST FLOOR, HAMAM STREET, FORT,",,,"Mar 06, 2000 - Perpetual",BAJAJ SHARE & STOCK BROKERS PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAJAJ SHARE & STOCK BROKERS PVT. LTD.,INZ000240132,Registered Stock Brokers in equity segment,bajajvrb@gmail.com,9102222870362,,"24-B, RAJA BAHADUR COMPOUND, 1ST FLOOR, HAMAM STREET, FORT,",,,"Mar 06, 2000 - Perpetual",BAJAJ SHARE & STOCK BROKERS PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAJAJ SHARE & STOCK BROKERS PVT. LTD.,INZ000240132,Registered Stock Brokers in Equity Derivative Segment,bajajvrb@gmail.com,9102222870362,,"24-B, RAJA BAHADUR COMPOUND, 1ST FLOOR, HAMAM STREET, FORT,",,,"Mar 06, 2000 - Perpetual",BAJAJ SHARE & STOCK BROKERS PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAJAJ SHARE & STOCK BROKERS PVT. LTD.,INZ000240132,Registered Stock Brokers in equity segment,bajajvrb@gmail.com,9102222870362,,"24-B, RAJA BAHADUR COMPOUND, 1ST FLOOR, HAMAM STREET, FORT,",,,"Mar 06, 2000 - Perpetual",BAJAJ SHARE & STOCK BROKERS PVT. LTD.,NSE Clearing Limited,,,,,
BAKLIWAL CORPORATE SERVICES PVT. LTD.,INB031086730,Registered Stock Brokers in equity segment,,,,,,,"Apr 10, 2000 - Perpetual",BAKLIWAL CORPORATE SERVICES PVT. LTD.,CALCUTTA STOCK EXCHANGE,,,,,
BAKLIWAL FINANCIAL SERVICES (INDIA) PRIVATE LIMITED,INF011070332,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Jun 02, 2000 - Perpetual",BAKLIWAL FINANCIAL SERVICES (INDIA) PRIVATE LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAKLIWAL FINANCIAL SERVICES (INDIA) PRIVATE LIMITED,INF011070332,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Jun 02, 2000 - Perpetual",BAKLIWAL FINANCIAL SERVICES (INDIA) PRIVATE LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BAKLIWAL FINANCIAL SERVICES (INDIA) PRIVATE LIMITED,INE261070336,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Dec 18, 2008 - Perpetual",BAKLIWAL FINANCIAL SERVICES (INDIA) PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
BAKLIWAL FINANCIAL SERVICES (INDIA) PVT. LTD,INF231070336,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Aug 31, 2001 - Perpetual",BAKLIWAL FINANCIAL SERVICES (I) PVT. LTD,NSE Clearing Limited,,,,,
BAKLIWAL FINANCIAL SERVICES (INDIA) PVT. LTD,INF231070336,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Aug 31, 2001 - Perpetual",BAKLIWAL FINANCIAL SERVICES (I) PVT. LTD,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAKLIWAL FINANCIAL SERVICES (INDIA) PVT. LTD.,INB231070336,Registered Stock Brokers in equity segment,,,,,,,"Nov 06, 2000 - Perpetual",BAKLIWAL FINANCIAL SERVICES (INDIA) PVT. LTD.,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAKLIWAL FINANCIAL SERVICES (INDIA) PVT.LTD.,INB011070332,Registered Stock Brokers in equity segment,,,,,,,"Dec 08, 1999 - Perpetual",BAKLIWAL FINANCIAL SERVICES (INDIA) PVT.LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAKLIWAL INVESTMENT,INB230922920,Registered Stock Brokers in equity segment,,,,,,,"Jun 20, 1996 - Perpetual",BAKLIWAL INVESTMENT,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAKLIWAL INVESTMENTS,INF230922920,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Feb 06, 2006 - Perpetual",BAKLIWAL INVESTMENTS,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BAKLIWAL SECURITIES PVT. LTD.,INB011026235,Registered Stock Brokers in equity segment,,,,,,,"Apr 15, 1998 - Perpetual",BAKLIWAL SECURITIES PVT. LTD.,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BAKSHU SECURITIES & BROKERS PRIVATE LIMITED,INF261257431,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Feb 01, 2013 - Perpetual",BAKSHU SECURITIES & BROKERS PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
BAKSHU SECURITIES & BROKERS PRIVATE LIMITED,INB261257431,Registered Stock Brokers in equity segment,,,,,,,"Feb 01, 2013 - Perpetual",BAKSHU SECURITIES & BROKERS PRIVATE LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
BAL BINOD BAJORIA,INB030665117,Registered Stock Brokers in equity segment,,,,,,,"Nov 23, 1994 - Perpetual",B. B. BAJORIA & CO.,CALCUTTA STOCK EXCHANGE,,,,,
BALAJI EQUITIES LIMITED,INZ000212839,Registered Stock Brokers in equity segment,info@balajiequities.com,04004044363699,,"Flat No.11, Chitturi Complex Near Head Post Office",,,"Oct 05, 2000 - Perpetual",BALAJI EQUITIES LIMITED,NSE Clearing Limited,,,,,
BALAJI EQUITIES LIMITED,INZ000212839,Registered Stock Brokers in Equity Derivative Segment,info@balajiequities.com,04004044363699,,"Flat No.11, Chitturi Complex Near Head Post Office",,,"Oct 05, 2000 - Perpetual",BALAJI EQUITIES LIMITED,NSE Clearing Limited,,,,,
BALAJI EQUITIES LIMITED,INZ000212839,Registered Stock Brokers in equity segment,info@balajiequities.com,04004044363699,,"Flat No.11, Chitturi Complex Near Head Post Office",,,"Oct 05, 2000 - Perpetual",BALAJI EQUITIES LIMITED,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BALAJI EQUITIES LIMITED,INZ000212839,Registered Stock Brokers in Equity Derivative Segment,info@balajiequities.com,04004044363699,,"Flat No.11, Chitturi Complex Near Head Post Office",,,"Oct 05, 2000 - Perpetual",BALAJI EQUITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BALAJI EQUITIES LIMITED,INZ000212839,Registered Stock Brokers in Currency Derivative Segment,info@balajiequities.com,04004044363699,,"Flat No.11, Chitturi Complex Near Head Post Office",,,"Oct 05, 2000 - Perpetual",BALAJI EQUITIES LIMITED,METROPOLITAN STOCK EXCHANGE,,,,,
BALAJI EQUITIES LIMITED,INZ000212839,Registered Stock Brokers in equity segment,info@balajiequities.com,04004044363699,,"Flat No.11, Chitturi Complex Near Head Post Office",,,"Oct 05, 2000 - Perpetual",BALAJI EQUITIES LIMITED,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BALAJI EQUITIES LIMITED,INZ000212839,Registered Stock Brokers in Equity Derivative Segment,info@balajiequities.com,04004044363699,,"Flat No.11, Chitturi Complex Near Head Post Office",,,"Oct 05, 2000 - Perpetual",BALAJI EQUITIES LIMITED,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BALAJI FINCAP LLP,INZ000321758,Registered Stock Brokers in equity segment,balajifincapllp@gmail.com,00000000000,,"Medicure Center, Raja Maidan Road Jorhat",,,"Oct 25, 2024 - Perpetual",BALAJI FINCAP LLP,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BALAJI FINCAP LLP,INZ000321758,Registered Stock Brokers in Equity Derivative Segment,balajifincapllp@gmail.com,00000000000,,"Medicure Center, Raja Maidan Road Jorhat",,,"Oct 25, 2024 - Perpetual",BALAJI FINCAP LLP,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BALANCE EQUITY BROKING (INDIA) PVT. LTD.,INZ000161234,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Jun 27, 2000 - Perpetual",BALANCE EQUITY BROKING (INDIA) PVT. LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BALANCE EQUITY BROKING (INDIA) PVT. LTD.,INZ000161234,Registered Stock Brokers in Equity Derivative Segment,,,,,,,"Jun 27, 2000 - Perpetual",BALANCE EQUITY BROKING (INDIA) PVT. LTD.,METROPOLITAN STOCK EXCHANGE,,,,,
BALANCE EQUITY BROKING (INDIA) PVT. LTD.,INZ000161234,Registered Stock Brokers in Currency Derivative Segment,,,,,,,"Jun 27, 2000 - Perpetual",BALANCE EQUITY BROKING (INDIA) PVT. LTD.,METROPOLITAN STOCK EXCHANGE,,,,,
BALANCE EQUITY BROKING (INDIA) PVT. LTD.,INZ000161234,Registered Stock Brokers in equity segment,,,,,,,"Jun 27, 2000 - Perpetual",BALANCE EQUITY BROKING (INDIA) PVT. LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BALANCE EQUITY BROKING (INDIA) PVT. LTD.,INZ000161234,Registered Stock Brokers in equity segment,,,,,,,"Jun 27, 2000 - Perpetual",BALANCE EQUITY BROKING (INDIA) PVT. LTD.,METROPOLITAN STOCK EXCHANGE,,,,,
BALBHADRA DAS BANGUR,INB030491816,Registered Stock Brokers in equity segment,,,,,,,"Jan 25, 1993 - Perpetual",BALBHADRA DAS BANGUR,CALCUTTA STOCK EXCHANGE,,,,,
BALJIT SECURITIES PVT. LTD,INZ000194035,Registered Stock Brokers in equity segment,ADMIN@BALJITGROUP.COM,0919830202224,,"7A, Pretoria Street BALJIT KUNJ, GROUND FLOOR",,,"Apr 22, 1996 - Perpetual",BALJIT SECURITIES PVT. LTD,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BALJIT SECURITIES PVT. LTD,INZ000194035,Registered Stock Brokers in Equity Derivative Segment,ADMIN@BALJITGROUP.COM,0919830202224,,"7A, Pretoria Street BALJIT KUNJ, GROUND FLOOR",,,"Apr 22, 1996 - Perpetual",BALJIT SECURITIES PVT. LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BALJIT SECURITIES PVT. LTD,INZ000194035,Registered Stock Brokers in Currency Derivative Segment,ADMIN@BALJITGROUP.COM,0919830202224,,"7A, Pretoria Street BALJIT KUNJ, GROUND FLOOR",,,"Apr 22, 1996 - Perpetual",BALJIT SECURITIES PVT. LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BALJIT SECURITIES PVT. LTD,INZ000194035,Registered Stock Brokers in Equity Derivative Segment,ADMIN@BALJITGROUP.COM,0919830202224,,"7A, Pretoria Street BALJIT KUNJ, GROUND FLOOR",,,"Apr 22, 1996 - Perpetual",BALJIT SECURITIES PVT. LTD,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BALJIT SECURITIES PVT. LTD,INZ000194035,Registered Stock Brokers in Currency Derivative Segment,ADMIN@BALJITGROUP.COM,0919830202224,,"7A, Pretoria Street BALJIT KUNJ, GROUND FLOOR",,,"Apr 22, 1996 - Perpetual",BALJIT SECURITIES PVT. LTD,NATIONAL STOCK EXCHANGE OF INDIA LIMITED,,,,,
BALJIT SECURITIES PVT. LTD,INZ000194035,Registered Stock Brokers in Currency Derivative Segment,ADMIN@BALJITGROUP.COM,0919830202224,,"7A, Pretoria Street BALJIT KUNJ, GROUND FLOOR",,,"Apr 22, 1996 - Perpetual",BALJIT SECURITIES PVT. LTD,METROPOLITAN STOCK EXCHANGE,,,,,
BALJIT SECURITIES PVT. LTD,INZ000194035,Registered Stock Brokers in Equity Derivative Segment,ADMIN@BALJITGROUP.COM,0919830202224,,"7A, Pretoria Street BALJIT KUNJ, GROUND FLOOR",,,"Apr 22, 1996 - Perpetual",BALJIT SECURITIES PVT. LTD,NSE Clearing Limited,,,,,
BALJIT SECURITIES PVT. LTD,INZ000194035,Registered Stock Brokers in equity segment,ADMIN@BALJITGROUP.COM,0919830202224,,"7A, Pretoria Street BALJIT KUNJ, GROUND FLOOR",,,"Apr 22, 1996 - Perpetual",BALJIT SECURITIES PVT. LTD,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BALKISHAN MOHTA,INZ000226717,Registered Stock Brokers in equity segment,bkmohta@yahoo.co.in,0229166335071,,"R-623, ROTUNDA BUILDING, MUMBAI SAMACHAR MARG (APOLLO STREET)",,,"Mar 19, 1997 - Perpetual",BALKISHAN MOHTA,BOMBAY STOCK EXCHANGE LIMITED,,,,,
BALKISHAN MOHTA,INZ000226717,Registered Stock Brokers in equity segment,bkmohta@yahoo.co.in,0229166335071,,"R-623, ROTUNDA BUILDING, MUMBAI SAMACHAR MARG (APOLLO STREET)",,,"Mar 19, 1997 - Perpetual",BALKISHAN MOHTA,INDIAN CLEARING CORPORATION LIMITED(ICCL),,,,,
BALLABH DAS DWARKANI,INB030513119,Registered Stock Brokers in equity segment,,,,,,,"Feb 25, 1993 - Perpetual",BALLABH DAS DWARKANI,CALCUTTA STOCK EXCHANGE,,,,,
BALLABH DASS DAGA,INB030492218,Registered Stock Brokers in equity segment,,,,,,,"Jan 25, 1993 - Perpetual",BALLABH DASS DAGA,CALCUTTA STOCK EXCHANGE,,,,,
BANAFSHE PASHOOTANIZADEH,INA000019008,Investment Adviser,banafshe.pzadeh@gmail.com,918552090237,,"F1 Cananught Plaza 5 Cannaught Road , Opp GPO Pune, PUNE, MAHARASHTRA, 411001",Banafshe Pashootanizadeh,"F1 Cananught Plaza 5 Cannaught Road , Opp GPO Pune, PUNE, MAHARASHTRA, 411001","Mar 22, 2024 - Perpetual",,,,,,,
